99	100
X	Y	Species	Type	Diam	Height
147.917	222.217	4	3	96.3067	26.8882
233.516	123.235	4	3	96.0429	26.8707
209.372	244.968	4	3	95.5016	26.8345
221.5	45.0827	4	3	95.1409	26.8101
190.781	174.031	3	3	94.8538	33.4352
228.801	33.2892	4	3	94.4975	26.7661
272.998	94.9762	4	3	93.0767	26.6664
106.312	79.5702	3	3	91.5478	33.2909
123.817	212.974	4	3	91.3238	26.5386
65.5045	21.4457	4	3	90.3376	26.4642
86.9924	82.9878	4	3	90.3368	26.4642
297.322	200.544	3	3	88.9922	33.1672
125.046	19.8629	5	3	88.1809	32.1774
107.204	131.779	4	3	88.0957	26.2884
74.9928	21.3878	4	3	87.9412	26.2759
170.925	203.844	7	3	87.6582	30.2299
13.2328	123.98	4	3	87.228	26.2177
223.674	84.1498	4	3	86.9997	26.1989
41.1268	290.718	4	3	86.3108	26.1414
126.754	122.519	7	3	86.0251	30.1864
174.958	134.162	3	3	84.9138	32.9451
66.5774	262.321	3	3	84.8575	32.9418
74.2544	272.032	4	3	84.0661	25.9472
284.423	76.0656	4	3	84.0647	25.9471
35.6345	113.256	4	3	83.6195	25.9073
0.75233	110.484	2	3	83.2936	23.0851
107.616	228.831	4	3	82.3456	25.7911
40.0239	243.887	4	3	81.4226	25.7045
25.7229	209.965	4	3	80.8657	25.6514
68.6169	46.2125	4	3	80.7652	25.6417
213.479	196.367	4	3	79.7438	25.5421
37.4772	154.22	4	3	79.2869	25.4968
262.847	247.126	4	3	79.0873	25.4768
295.043	85.7226	3	3	78.2441	32.5053
57.7818	178.324	3	3	78.2406	32.505
294.336	271.476	4	3	77.9073	25.3567
204.587	261.33	3	3	77.6523	32.461
30.6993	209.455	7	3	77.5377	29.901
181.972	274.722	4	3	76.3906	25.1971
284.1	201.822	4	3	76.3042	25.1879
286.678	90.5225	4	3	76.2708	25.1843
245.685	247.257	4	3	76.1182	25.1679
251.972	249.762	4	3	74.0573	24.9399
279.879	114.757	3	3	73.9015	32.1579
274.778	20.3358	3	3	73.7867	32.148
