99	100
X	Y	Species	Type	Diam	Height
29.0848	109.104	4	3	60.6628	23.1443
27.7561	112.29	7	3	84.8228	30.1523
26.6605	118.042	3	3	67.7657	31.5667
27.4114	121.032	4	3	17.4687	11.1323
31.5068	159.072	4	3	11.8321	8.41741
30.205	185.668	4	3	113.639	27.8213
25.9126	195.564	4	3	71.3234	24.6194
29.6646	215.214	4	3	43.3271	19.7566
25.7229	209.965	4	3	80.8657	25.6514
30.6993	209.455	7	3	77.5377	29.901
24.0191	229.803	4	3	28.7836	15.5771
28.6235	239.064	4	3	126.041	28.2847
24.2499	256.14	4	3	24.5185	14.0435
29.9631	262.468	4	3	25.8395	14.5356
31.6418	269.606	4	3	50.9614	21.4254
26.6375	267.172	3	3	32.7164	24.1346
29.8879	272.32	4	3	22.7537	13.3609
25.7053	289.012	4	3	10.5941	7.76962
29.4796	292.296	4	3	14.5811	9.78804
30.6153	288.072	4	3	24.6095	14.0779
27.5005	289.098	4	3	30.6186	16.1895
25.4412	291.897	4	3	31.664	16.5263
33.6911	47.7566	4	3	103.082	27.3003
34.4186	63.6954	4	3	12.1234	8.56703
33.6557	59.4361	4	3	12.5973	8.80819
37.2345	60.9201	4	3	40.9041	19.1588
33.1912	60.664	4	3	55.7648	22.3271
36.6244	71.6368	4	3	112.035	27.7505
35.8537	82.8911	4	3	14.1427	9.57556
35.6345	113.256	4	3	83.6195	25.9073
32.9653	122.896	4	3	19.7673	12.1369
34.6874	121.479	7	3	158.692	30.7767
38.6515	128.029	3	3	90.9103	33.261
32.5282	144.274	4	3	89.9069	26.4312
38.9196	157.983	4	3	71.8481	24.6826
37.4772	154.22	4	3	79.2869	25.4968
34.8079	162.873	3	3	46.1508	28.0897
37.1941	175.019	4	3	17.1849	11.0044
36.5117	171.646	3	3	64.2862	31.1698
37.8963	177.617	3	3	71.4035	31.9325
32.0165	202.189	4	3	22.1065	13.1032
37.4997	204.241	3	3	66.207	31.3949
32.2027	208.037	4	3	62.4036	23.412
32.3607	221.808	4	3	30.9371	16.293
37.7018	226.627	4	3	13.2856	9.15351
38.5165	230.677	4	3	31.021	16.3201
32.3935	236.29	4	3	12.9461	8.9839
36.8708	236.022	4	3	28.708	15.5513
38.5448	232.578	4	3	66.0141	23.9325
32.5953	249.063	4	3	136.608	28.5829
33.0369	274.329	7	3	63.6813	29.123
32.8443	286.121	4	3	14.6584	9.82527
33.3343	289.277	7	3	28.5096	22.6358
33.7172	299.245	4	3	88.2524	26.301
47.4236	15.3758	4	3	30.7969	16.2475
46.6881	19.6705	4	3	31.3291	16.4193
41.3221	17.7188	4	3	58.8714	22.8567
40.5441	27.848	3	3	58.5204	30.3947
42.0016	33.0804	4	3	126.382	28.2955
41.0873	47.1386	4	3	55.7606	22.3264
44.2722	57.5521	4	3	49.6637	21.1631
46.5187	60.6487	3	3	34.3588	24.7246
43.4151	78.7662	3	3	17.1858	16.4835
46.3197	76.5546	4	3	50.5098	21.3351
40.18	102.615	4	3	53.1688	21.8529
41.3024	108.924	4	3	71.0563	24.5869
45.409	136.089	4	3	12.1396	8.57532
44.8795	140.801	4	3	16.2077	10.5569
43.5354	137.587	4	3	31.8551	16.587
41.4583	136.102	3	3	58.1258	30.3357
42.0079	148.776	4	3	16.55	10.7148
47.1563	157.837	3	3	12.7254	13.391
47.0911	175.393	6	3	26.9364	23.3046
42.1631	182.088	4	3	45.4797	20.2589
43.5043	195.677	3	3	83.2925	32.8475
41.7337	226.585	4	3	12.4226	8.71961
41.9116	228.249	4	3	39.4632	18.7862
47.5076	225.455	4	3	65.7147	23.891
43.413	232.111	4	3	20.6885	12.524
44.8619	242.837	4	3	23.7203	13.7384
47.2373	243.539	4	3	68.2972	24.2388
40.0239	243.887	4	3	81.4226	25.7045
41.3856	272.573	4	3	11.3845	8.18545
40.9143	278.339	4	3	32.4602	16.7771
42.5025	276.515	4	3	55.0259	22.1952
45.9717	284.532	4	3	23.752	13.7507
43.5156	280.196	4	3	58.64	22.8186
41.1268	290.718	4	3	86.3108	26.1414
51.6543	14.8134	4	3	33.6795	17.152
55.4601	9.09148	3	3	24.8833	20.7976
50.3291	17.8966	4	3	35.3341	17.6432
53.9544	19.4755	4	3	35.6557	17.7364
53.6675	24.9091	4	3	11.9038	8.45433
