X	Y	DBH	Mortclass
65.9441	126.541	66.3551	1	
23.6788	227.772	66.3256	1	
294.711	126.321	66.3245	1	
37.4997	204.241	66.207	1	
5.39956	275.628	66.1752	1	
112.55	140.864	66.1628	2	
99.8684	147.626	66.0784	1	
108.947	47.7602	66.0582	1	
38.5448	232.578	66.0141	2	
166.002	125.184	65.9632	2	
47.5076	225.455	65.7147	1	
284.721	49.1082	65.6467	1	
218.611	278.72	65.4312	2	
194.506	270.486	65.394	2	
94.7515	224.239	65.1155	2	
132.068	121.906	64.7258	1	
248.262	259.274	64.6521	2	
140.649	140.939	64.6078	1	
214.929	0.540585	64.5641	1	
145.422	140.953	64.5607	2	
120.235	196.468	64.5485	1	
109.617	57.1799	64.5323	2	
81.5682	275.679	64.3213	2	
36.5117	171.646	64.2862	1	
81.0466	155.329	64.1756	2	
288.256	72.9805	64.1161	1	
145.766	269.561	64.0313	1	
99.4996	139.804	63.9305	1	
272.231	5.60519	63.8841	1	
233.09	260.683	63.8037	1	
228.643	59.3592	63.7423	1	
293.222	224.891	63.7101	1	
33.0369	274.329	63.6813	2	
158.829	113.923	63.5888	2	
70.924	235.339	63.5835	1	
90.1158	250.374	62.6205	1	
32.2027	208.037	62.4036	1	
56.8772	229.496	62.366	1	
50.3841	230.379	61.9143	1	
255.739	143.583	61.7991	1	
222.736	55.1811	61.7073	1	
123.88	59.8742	61.6991	1	
135.185	129.105	61.6843	1	
51.2876	149.646	61.6754	1	
20.1375	42.4835	61.3985	2	
74.453	224.595	61.2894	1	
112.428	251.509	61.2732	1	
293.728	104.401	61.2554	2	
217.815	69.7863	61.0577	1	
82.8004	221.202	60.9218	1	
83.2919	147.933	60.7803	2	
62.5787	229.233	60.7569	2	
60.6463	245.333	60.7502	1	
151.916	144.213	60.6882	2	
29.0848	109.104	60.6628	1	
256.756	49.594	60.6019	1	
233.843	203.017	60.5724	1	
259.085	46.5143	60.3391	2	
235.383	266.613	60.3364	2	
161.859	119.978	60.0374	1	
139.702	284.329	60.0017	1	
252.764	220.785	59.8919	2	
85.7652	130.109	59.6392	1	
16.297	37.5196	59.5451	1	
89.4356	160.789	59.3905	1	
99.6747	18.3239	59.3731	2	
166.236	176.932	59.274	2	
105.897	190.749	59.0837	1	
70.4219	222.014	59.0475	1	
247.759	228.494	58.9608	1	
239.105	45.8607	58.8851	2	
41.3221	17.7188	58.8714	1	
272.656	254.868	58.7715	1	
258.49	228.98	58.7436	1	
293.555	258.483	58.6495	1	
43.5156	280.196	58.64	2	
216.393	118.756	58.612	1	
299.976	189.589	58.5449	1	
66.9767	268.855	58.5299	2	
40.5441	27.848	58.5204	2	
79.2552	116.367	58.4727	2	
76.9734	125.092	58.4713	1	
221.996	0.886112	58.3932	1	
251.386	21.1661	58.27	1	
134.056	233.979	58.1327	1	
41.4583	136.102	58.1258	2	
233.831	15.9424	57.7303	1	
17.8999	234.663	57.7021	2	
257.24	206.803	57.5617	2	
82.1684	87.0295	57.5588	1	
54.5712	145.42	56.9203	1	
4.1261	268.119	56.8402	1	
53.7641	40.8679	56.7892	2	
106.158	228.338	56.6286	1	
49.7371	248.117	56.5649	2	
124.435	152.074	56.4121	1	
103.467	217.781	56.334	1	
156.855	119.107	56.2104	2	
198.584	59.9239	55.9719	1	
124.285	127.181	55.9183	1	
257.784	233.615	55.7854	2	
33.1912	60.664	55.7648	1	
41.0873	47.1386	55.7606	2	
231.257	103.969	55.7414	2	
81.8195	217.322	55.3647	1	
236.105	42.3883	55.2319	2	
42.5025	276.515	55.0259	1	
61.1161	58.1828	54.9321	1	
293.422	44.4045	54.1536	1	
271.365	190.489	54.0458	1	
60.3988	119.698	53.8102	1	
276.276	193.951	53.7552	2	
254.414	213.574	53.7415	1	
265.122	182.056	53.5752	2	
116.348	34.5672	53.4301	1	
128.313	81.4839	53.3792	1	
115.417	48.5322	53.3668	1	
72.6632	173.513	53.242	1	
276.114	219.88	53.2211	1	
40.18	102.615	53.1688	2	
89.2016	215.732	53.1471	1	
121.649	91.8271	53.0147	1	
293.211	183.537	52.9593	2	
3.35602	294.656	52.7929	1	
245.727	18.1507	52.7713	1	
222.612	29.6157	52.7518	2	
159.15	8.49568	52.66	1	
6.57007	287.801	52.6253	1	
187.769	190.721	52.5354	2	
282.933	17.3165	52.3492	2	
231.177	67.4029	52.0641	1	
160.927	160.686	51.9218	2	
267.958	187.708	51.9165	2	
235.604	299.006	51.7954	1	
78.6232	235.628	51.7577	1	
139.965	205.928	51.5531	1	
112.822	0.247678	51.0761	1	
27.6271	38.5605	51.0728	2	
31.6418	269.606	50.9614	1	
103.949	59.8216	50.8924	1	
74.2823	155.928	50.8	1	
68.5985	12.0956	50.7495	1	
46.3197	76.5546	50.5098	2	
27.1089	106.883	50.4894	1	
105.493	199.754	50.4816	1	
134.553	270.796	50.3549	1	
190.673	115.341	50.3497	1	
137.407	198.331	50.2887	1	
181.179	124.913	50.2569	1	
98.3849	227.376	50.2516	1	
123.97	243.985	50.2483	1	
2.55146	265.969	50.1612	1	
187.001	226.963	50.139	1	
255.6	205.732	50.043	2	
53.8187	166.057	49.7386	2	
44.2722	57.5521	49.6637	1	
274.543	54.7215	49.4473	2	
66.1897	166.117	49.4343	2	
141.124	56.9428	49.2563	2	
233.303	71.1857	49.2502	2	
254.64	99.3894	49.0916	1	
187.686	134.293	48.9491	1	
142.784	145.837	48.9315	2	
182.294	26.5057	48.7663	1	
213.267	275.436	48.7451	1	
149.902	207.051	48.1985	1	
98.0765	210.081	48.1595	1	
189.706	185.305	48.1051	2	
208.967	10.6606	48.1021	2	
260.829	21.2646	48.066	1	
146.056	249.862	48.0637	1	
283.968	108.522	48.0125	1	
114.71	260.905	47.9426	1	
67.5845	123.02	47.9128	1	
88.966	221.379	47.6166	2	
63.441	122.339	47.5318	1	
172.006	84.9777	47.4488	2	
183.323	220.79	47.437	2	
67.1167	249.505	47.394	1	
6.9448	42.2759	47.3487	1	
266.089	199.469	47.2196	2	
221.382	64.3248	47.1854	1	
189.53	137.854	47.1561	1	
172.196	71.3971	46.843	2	
184.626	22.0424	46.6276	1	
69.6724	161.776	46.5003	1	
279.879	206.038	46.4229	1	
212.175	76.8816	46.3839	2	
232.577	299.3	46.258	1	
277.809	146.752	46.1598	1	
34.8079	162.873	46.1508	1	
260.997	16.6489	46.0458	1	
58.2328	153.758	46.0315	2	
253.142	93.4717	45.9176	1	
129.494	268.801	45.7254	1	
42.1631	182.088	45.4797	1	
31.748	36.4206	45.4086	1	
290.551	38.7411	45.1687	1	
78.1725	112.11	45.1487	1	
93.6776	217.979	44.9446	1	
70.2515	178.234	44.9371	1	
283.281	238.026	44.9272	1	
189.502	258.73	44.7222	2	
150.799	199.224	44.7198	1	
190.098	280	44.6658	1	
76.5458	166.448	44.5968	1	
178.649	152.392	44.5967	2	
